,시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
30,강원특별자치도,춘천시,제이드펠리스골프클럽,내국인,20510,20510,0.0,0.0,1436.0,2456.0,2917.0,2730.0,2446.0,695.0,2277.0,2864.0,2215.0,474.0
31,강원특별자치도,춘천시,집다리골자연휴양림,내국인,47361,47361,2916.0,2749.0,1417.0,3387.0,6461.0,7418.0,11690.0,11303.0,20.0,0.0,0.0,0.0
32,강원특별자치도,춘천시,청평사관광지,내국인,127666,127666,6076.0,7008.0,8153.0,11616.0,15210.0,10969.0,10820.0,11548.0,10000.0,19356.0,12400.0,4510.0
33,강원특별자치도,춘천시,춘천 삼악산 호수케이블카,내국인,594723,594723,41106.0,34171.0,22019.0,51705.0,76052.0,65053.0,45128.0,51083.0,46861.0,86229.0,49258.0,26058.0
34,강원특별자치도,춘천시,춘천문화예술회관,내국인,83279,83279,1249.0,1720.0,1313.0,5049.0,7001.0,5464.0,5170.0,16915.0,14174.0,11301.0,7317.0,6606.0
35,강원특별자치도,춘천시,춘천숲자연휴양림,내국인,15669,15669,791.0,730.0,715.0,1498.0,1853.0,1646.0,1598.0,1590.0,1514.0,2081.0,1166.0,487.0
36,강원특별자치도,춘천시,춘천에티오피아한국전참전기념관,내국인,25471,25471,891.0,889.0,921.0,2497.0,2364.0,2379.0,2400.0,2814.0,2582.0,3515.0,2308.0,1911.0
37,강원특별자치도,춘천시,춘천지구전적기념관,내국인,71580,71580,968.0,1659.0,2686.0,6957.0,7581.0,5308.0,8021.0,7409.0,8488.0,11172.0,9215.0,2116.0
38,강원특별자치도,춘천시,파가니카CC,내국인,94488,94488,2678.0,5901.0,8920.0,9898.0,10340.0,9115.0,9907.0,9254.0,9364.0,8950.0,7774.0,2387.0
39,강원특별자치도,춘천시,휘슬링락CC,내국인,27057,27057,0.0,403.0,1889.0,4344.0,4916.0,4485.0,3935.0,4406.0,2679.0,0.0,0.0,0.0
40,강원특별자치도,원주시, 간현관광지 야간코스(나오라쇼),내국인,11761,11761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,10195.0,0.0,0.0
41,강원특별자치도,원주시,HDC(골프장),내국인,325639,325639,1629.0,7155.0,21484.0,38349.0,41756.0,36142.0,35573.0,33369.0,38330.0,39890.0,27864.0,4098.0
42,강원특별자치도,원주시,HDC(스키장),내국인,73999,73999,41008.0,17404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15587.0
43,강원특별자치도,원주시,고판화박물관,내국인,5086,5086,93.0,108.0,184.0,372.0,363.0,256.0,231.0,344.0,1462.0,1339.0,229.0,105.0
44,강원특별자치도,원주시,기후변화홍보관,내국인,40537,40537,1987.0,2008.0,2391.0,3738.0,4422.0,3407.0,2931.0,3229.0,3569.0,4899.0,4461.0,3495.0
45,강원특별자치도,원주시,동서울레스피아컨트리클럽(퍼브릭),내국인,49901,49901,1627.0,2070.0,3467.0,4939.0,6310.0,5399.0,4590.0,4605.0,5561.0,5774.0,4785.0,774.0
46,강원특별자치도,원주시,박경리문학공원,내국인,56642,56642,1298.0,1301.0,1461.0,3072.0,5036.0,5445.0,6138.0,6812.0,6111.0,7550.0,7158.0,5260.0
47,강원특별자치도,원주시,백운산자연휴양림,내국인,70264,70264,4346.0,4035.0,3268.0,5296.0,7246.0,6654.0,8935.0,7917.0,6131.0,8204.0,4834.0,3398.0
48,강원특별자치도,원주시,센추리21골프장,내국인,245587,245587,3700.0,9585.0,18986.0,25733.0,27379.0,27603.0,25785.0,24132.0,25033.0,27580.0,24861.0,5210.0
49,강원특별자치도,원주시,소금산그랜드밸리,내국인,815516,815516,60188.0,77817.0,65390.0,91921.0,105222.0,80757.0,40572.0,32130.0,53336.0,120812.0,67013.0,20358.0
50,강원특별자치도,원주시,원주 레일파크,내국인,113179,113179,2762.0,3521.0,3680.0,10394.0,15500.0,12632.0,8954.0,13274.0,11656.0,18810.0,10577.0,1419.0
51,강원특별자치도,원주시,원주시 사회적경제지원센터,내국인,1813,1813,38.0,40.0,103.0,50.0,172.0,257.0,225.0,85.0,228.0,165.0,290.0,160.0
52,강원특별자치도,원주시,원주역사박물관,내국인,22970,22970,714.0,842.0,914.0,1047.0,2198.0,2415.0,2702.0,2828.0,2585.0,1962.0,2528.0,2235.0
53,강원특별자치도,원주시,원주허브팜,내국인,6818,6818,0.0,0.0,0.0,1292.0,2762.0,1507.0,303.0,427.0,527.0,0.0,0.0,0.0
54,강원특별자치도,원주시,치악산국립공원(곧은재),내국인,21444,21444,1506.0,1305.0,1113.0,1522.0,1918.0,1920.0,1955.0,1468.0,1733.0,2186.0,3854.0,964.0
55,강원특별자치도,원주시,치악산국립공원(구룡),내국인,561375,561375,27640.0,30071.0,27843.0,40071.0,54298.0,43162.0,43626.0,49746.0,54516.0,101021.0,57909.0,31472.0
56,강원특별자치도,원주시,치악산국립공원(금대),내국인,181622,181622,9066.0,9104.0,11190.0,15281.0,15512.0,16320.0,20723.0,25642.0,16336.0,17842.0,14220.0,10386.0
57,강원특별자치도,원주시,치악산국립공원(부곡),내국인,20859,20859,1510.0,1208.0,879.0,1153.0,1604.0,1901.0,1532.0,1424.0,1399.0,3143.0,4017.0,1089.0
58,강원특별자치도,원주시,치악산국립공원(성남),내국인,19475,19475,1182.0,1185.0,868.0,1309.0,1535.0,1615.0,1851.0,1491.0,1630.0,3650.0,1455.0,1704.0
59,강원특별자치도,원주시,치악산국립공원(행구동),내국인,22288,22288,1990.0,1878.0,1553.0,1929.0,2469.0,2075.0,1730.0,1034.0,895.0,2031.0,3816.0,888.0
60,강원특별자치도,원주시,치악산국립공원(황골),내국인,40002,40002,3643.0,3120.0,2908.0,3261.0,3641.0,3730.0,3023.0,1693.0,3221.0,5700.0,3643.0,2419.0
61,강원특별자치도,원주시,치악산자연휴양림,내국인,60392,60392,7002.0,4571.0,2903.0,4889.0,5558.0,5375.0,5690.0,5476.0,4957.0,5026.0,5076.0,3869.0
62,강원특별자치도,원주시,파크밸리골프장,내국인,97136,97136,3349.0,4751.0,6706.0,9569.0,12457.0,11027.0,11291.0,9589.0,9252.0,9311.0,8132.0,1702.0
63,강원특별자치도,원주시,피노키오자연휴양림,내국인,15448,15448,196.0,128.0,160.0,1602.0,2607.0,2161.0,1994.0,2552.0,1362.0,1636.0,822.0,228.0
64,강원특별자치도,원주시,한솔뮤지엄,내국인,237838,237838,14170.0,13162.0,10355.0,18724.0,27126.0,22562.0,24878.0,29016.0,23789.0,12918.0,27077.0,14061.0
65,강원특별자치도,원주시,호텔인터불고원주 골프장,내국인,53312,53312,2231.0,2172.0,2075.0,8140.0,5780.0,4130.0,2310.0,2460.0,2513.0,7328.0,7047.0,7126.0
66,강원특별자치도,강릉시,강릉단오문화관,내국인,32408,32408,209.0,1075.0,6665.0,865.0,5469.0,5395.0,2655.0,978.0,3361.0,2326.0,1898.0,1512.0
67,강원특별자치도,강릉시,강릉솔향수목원,내국인,169762,169762,7008.0,6377.0,6742.0,18045.0,23669.0,18173.0,15430.0,16397.0,16935.0,23348.0,13092.0,4546.0
68,강원특별자치도,강릉시,강릉아트센터,내국인,44916,44916,1200.0,1000.0,1166.0,1405.0,4619.0,4344.0,2864.0,3544.0,4244.0,5207.0,6418.0,8905.0
69,강원특별자치도,강릉시,강릉임해자연휴양림,내국인,16305,16305,1776.0,1211.0,656.0,1236.0,1383.0,0.0,844.0,1918.0,1762.0,1922.0,1828.0,1769.0
70,강원특별자치도,강릉시,강릉정동진레일바이크,내국인,236884,236884,17052.0,16118.0,9434.0,20080.0,26970.0,24230.0,24610.0,28232.0,21594.0,24418.0,17700.0,6446.0
71,강원특별자치도,강릉시,대관령박물관,내국인,10776,10776,669.0,545.0,501.0,881.0,1046.0,1169.0,1296.0,1403.0,847.0,1263.0,666.0,490.0
72,강원특별자치도,강릉시,대관령자연휴양림,내국인,144877,144877,9553.0,8628.0,5577.0,8977.0,15591.0,15441.0,17780.0,20109.0,12908.0,15390.0,8377.0,6546.0
73,강원특별자치도,강릉시,동양자수박물관,내국인,610,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,68.0,145.0
74,강원특별자치도,강릉시,디자인씽킹뮤지엄,내국인,1114,1114,0.0,0.0,0.0,0.0,0.0,0.0,569.0,474.0,71.0,0.0,0.0,0.0
75,강원특별자치도,강릉시,메이플비치골프장,내국인,101954,101954,4958.0,4100.0,7315.0,8700.0,11000.0,10000.0,11054.0,10690.0,10215.0,8532.0,9193.0,6197.0
76,강원특별자치도,강릉시,샌드파인골프클럽,내국인,80492,80492,848.0,4554.0,5650.0,8049.0,9587.0,8798.0,8607.0,8224.0,7637.0,7480.0,6606.0,4452.0
77,강원특별자치도,강릉시,선교장,내국인,99706,99706,6559.0,5886.0,3509.0,7096.0,10748.0,9299.0,8561.0,10351.0,9190.0,13746.0,8692.0,6069.0
78,강원특별자치도,강릉시,숲사랑 홍보관,내국인,13697,13697,577.0,576.0,578.0,961.0,1362.0,1281.0,949.0,1212.0,1310.0,1635.0,1703.0,1553.0
79,강원특별자치도,강릉시,썬크루즈조각공원,내국인,196995,196995,14764.0,14493.0,6352.0,13130.0,19481.0,18447.0,19109.0,25403.0,16490.0,22707.0,13708.0,12911.0
80,강원특별자치도,강릉시,오대산국립공원소금강,내국인,63833,63833,1347.0,1544.0,1394.0,3362.0,5500.0,5110.0,6398.0,7482.0,5867.0,18421.0,5663.0,1745.0
81,강원특별자치도,강릉시,오죽헌.시립박물관,내국인,642737,642737,53352.0,48114.0,24248.0,47971.0,65916.0,61494.0,58181.0,71022.0,48501.0,73812.0,51263.0,38863.0
82,강원특별자치도,강릉시,와바다다(아라나비),내국인,24877,24877,1360.0,2100.0,750.0,1780.0,3625.0,980.0,3230.0,4495.0,2614.0,2089.0,1138.0,716.0
83,강원특별자치도,강릉시,정동심곡바다부채길,내국인,110754,110754,0.0,0.0,0.0,0.0,0.0,0.0,8084.0,15957.0,17856.0,34569.0,23668.0,10620.0
84,강원특별자치도,강릉시,정동진역,내국인,235636,235636,25678.0,20717.0,8741.0,16647.0,23973.0,24702.0,19800.0,24650.0,15400.0,20899.0,15305.0,19124.0
85,강원특별자치도,강릉시,참소리박물관,내국인,42630,42630,4706.0,3547.0,1502.0,2755.0,4532.0,4417.0,3989.0,6327.0,2622.0,2998.0,2492.0,2743.0
