,Unnamed: 0,시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월,image_url,category
10,21,강원특별자치도,춘천시,소양강 스카이워크,내국인,308433,308433,23964.0,22070.0,15859.0,22872.0,39342.0,32638.0,25612.0,30689.0,26195.0,33836.0,23458.0,11898.0,https://tourdb.gwd.go.kr/img/1024/additional/2016/12/13/AP10004_I_01.JPG,전망대
11,23,강원특별자치도,춘천시,애니메이션 박물관,내국인,183315,183315,13809.0,12089.0,9051.0,11470.0,17697.0,15216.0,20055.0,24740.0,12618.0,23293.0,12110.0,11167.0,https://www.gica.or.kr/assets/ani/img/img_aniMuseum01.png,박물관
12,24,강원특별자치도,춘천시,엘리시안강촌-골프장,내국인,119064,119064,2603.0,3206.0,10489.0,13552.0,14410.0,12886.0,13331.0,11312.0,12070.0,12192.0,10671.0,2342.0,https://www.elysian.co.kr/images/gangchon/introduction/golf_introduction01.jpg,골프장
13,25,강원특별자치도,춘천시,엘리시안강촌-스키장,내국인,163042,163042,63980.0,54955.0,2748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41359.0,https://www.elysian.co.kr/images/gangchon/map_default01_01.jpg,스키장
14,29,강원특별자치도,춘천시,제이드가든,내국인,157090,157090,4805.0,5786.0,7728.0,24046.0,38747.0,26253.0,14327.0,15618.0,19780.0,0.0,0.0,0.0,https://tourdb.gwd.go.kr/img/1024/additional/2016/01/11/AD0002_I_01.JPG,"수목원,식물원"
15,32,강원특별자치도,춘천시,청평사관광지,내국인,127666,127666,6076.0,7008.0,8153.0,11616.0,15210.0,10969.0,10820.0,11548.0,10000.0,19356.0,12400.0,4510.0,https://tourdb.gwd.go.kr/img/1024/additional/2016/12/13/AAD10007_I_01.JPG,"관광,명소"
16,33,강원특별자치도,춘천시,춘천 삼악산 호수케이블카,내국인,594723,594723,41106.0,34171.0,22019.0,51705.0,76052.0,65053.0,45128.0,51083.0,46861.0,86229.0,49258.0,26058.0,https://www.samaksancablecar.com/home/assets/images/sub/produce03.png,케이블카
17,41,강원특별자치도,원주시,HDC(골프장),내국인,325639,325639,1629.0,7155.0,21484.0,38349.0,41756.0,36142.0,35573.0,33369.0,38330.0,39890.0,27864.0,4098.0,https://lh3.googleusercontent.com/proxy/QueWHxo3VtzsU4V9VXCdwkZA-o5MZ9vuOeSBJ2zAQGyz4aCzxXK0ZVBSyqUKcAeUP2dxDvrHyLjZFEt86rUxFeFhX6gqSrK0tHpPtP6qxN959jKZ,미분류
18,48,강원특별자치도,원주시,센추리21골프장,내국인,245587,245587,3700.0,9585.0,18986.0,25733.0,27379.0,27603.0,25785.0,24132.0,25033.0,27580.0,24861.0,5210.0,https://t-golf.co.kr/yc/data/editor/2007/478af0d9a9c9cf03f6bf1a49b5bf26a8_1594129814_0785.jpg,전기자동차 충전소
19,49,강원특별자치도,원주시,소금산그랜드밸리,내국인,815516,815516,60188.0,77817.0,65390.0,91921.0,105222.0,80757.0,40572.0,32130.0,53336.0,120812.0,67013.0,20358.0,https://www.wonju.go.kr/site/tour_2022/images/contents/cts5255_img4_01.jpg,관광단지
20,50,강원특별자치도,원주시,원주 레일파크,내국인,113179,113179,2762.0,3521.0,3680.0,10394.0,15500.0,12632.0,8954.0,13274.0,11656.0,18810.0,10577.0,1419.0,https://www.sangsangmadang.com/feah/temp/2023/202311/f70ee85d-a003-4b3b-9045-edb48cb6b73c,주차장
