,광역지자체명,기초지자체명,광역지자체 방문자 수,기초지자체 방문자 수,광역지자체 지출액,기초지자체 지출액,인당 지출액
61,경상남도,창원시 의창구,127906998.5,25392911.5,1541914577.0,108702672.0,4.280827426977013
62,경상남도,창원시 성산구,127906998.5,24123166.5,1541914577.0,178714772.0,7.408429237513243
63,경상남도,창원시 마산합포구,127906998.5,20003288.5,1541914577.0,121447473.0,6.071375364105757
64,경상남도,창원시 마산회원구,127906998.5,15891250.0,1541914577.0,71719691.0,4.513156044993314
65,경상남도,창원시 진해구,127906998.5,14248869.5,1541914577.0,80532976.0,5.6518852951807865
66,경상남도,진주시,127906998.5,18927665.5,1541914577.0,111721191.0,5.902534097509278
67,경상남도,통영시,127906998.5,14484319.0,1541914577.0,76462725.0,5.279000345131863
68,경상남도,사천시,127906998.5,13373505.0,1541914577.0,65036168.0,4.863060805675102
69,경상남도,김해시,127906998.5,34428378.0,1541914577.0,216850817.0,6.298606835326369
70,경상남도,밀양시,127906998.5,13334192.5,1541914577.0,42729201.0,3.2044835860889216
71,경상남도,거제시,127906998.5,20148235.5,1541914577.0,100049477.0,4.96566942549386
72,경상남도,양산시,127906998.5,27140749.0,1541914577.0,163407619.0,6.020748322015726
73,경상남도,의령군,127906998.5,3686639.5,1541914577.0,7483922.0,2.030011884807289
74,경상남도,함안군,127906998.5,8612388.5,1541914577.0,27538552.0,3.1975510626349473
75,경상남도,창녕군,127906998.5,8477052.5,1541914577.0,31776668.0,3.7485515159897855
76,경상남도,남해군,127906998.5,8524863.5,1541914577.0,34860785.0,4.089307119111057
77,경상남도,하동군,127906998.5,6937866.5,1541914577.0,17192383.0,2.478050420831822
78,경상남도,산청군,127906998.5,6866805.0,1541914577.0,13883429.0,2.0218178614362867
79,경상남도,함양군,127906998.5,4857032.5,1541914577.0,11475981.0,2.3627556537865457
80,경상남도,거창군,127906998.5,6104266.0,1541914577.0,17701578.0,2.899870025323274
81,경상남도,합천군,127906998.5,6648833.5,1541914577.0,16563697.0,2.4912184971995464
82,경북,경주시,153031615.0,41879330.5,1257264854.0,255449009.0,6.099644047557064
83,경북,김천시,153031615.0,10908819.0,1257264854.0,47259730.0,4.332249897995374
84,경북,안동시,153031615.0,13963381.0,1257264854.0,68652122.0,4.916583025271602
85,경북,구미시,153031615.0,19830399.0,1257264854.0,131224846.0,6.617357825225806
86,경북,영주시,153031615.0,7463630.5,1257264854.0,30988212.0,4.151895247225864
87,경북,영천시,153031615.0,10806349.5,1257264854.0,39165454.0,3.62430013946893
88,경북,상주시,153031615.0,10462855.0,1257264854.0,31572406.0,3.0175708255538285
89,경북,문경시,153031615.0,8990498.0,1257264854.0,33518935.0,3.728262327626345
90,경북,경산시,153031615.0,23763835.0,1257264854.0,121026105.0,5.092869269627567
91,경북,의성군,153031615.0,6094926.5,1257264854.0,18133872.0,2.9752404725471258
92,경북,청송군,153031615.0,4343056.5,1257264854.0,12135514.0,2.7942335081295857
93,경북,영양군,153031615.0,1548665.5,1257264854.0,1642358.0,1.0604988617619493
94,경북,영덕군,153031615.0,8859924.0,1257264854.0,31148889.0,3.5157061166664634
95,경북,청도군,153031615.0,9757468.5,1257264854.0,36950959.0,3.786941151795673
96,경북,고령군,153031615.0,5124316.0,1257264854.0,15861881.0,3.0954142952932644
97,경북,성주군,153031615.0,6423623.5,1257264854.0,11637494.0,1.8116712475443182
98,경북,칠곡군,153031615.0,16114050.0,1257264854.0,65259358.0,4.0498420943214155
99,경북,예천군,153031615.0,5661521.5,1257264854.0,14889846.0,2.6300078521295025
100,경북,봉화군,153031615.0,3916272.5,1257264854.0,5491033.0,1.4021069780001263
101,경북,울진군,153031615.0,7315789.5,1257264854.0,24830388.0,3.3940818007407128
102,경북,울릉군,153031615.0,1729042.0,1257264854.0,10649777.0,6.159351247685135
103,경북,포항시 남구,153031615.0,22811303.0,1257264854.0,103803943.0,4.5505486030324525
104,경북,포항시 북구,153031615.0,24674160.0,1257264854.0,145972727.0,5.916016067010995
105,광주광역시,남구,46890519.0,15923507.5,947351778.0,65275653.0,4.099326294787753
106,광주광역시,동구,46890519.0,25571974.0,947351778.0,145022676.0,5.671156868843993
107,광주광역시,북구,46890519.0,33577243.0,947351778.0,136199532.0,4.056304801439475
108,광주광역시,광산구,46890519.0,32961007.0,947351778.0,198130181.0,6.011047569026031
109,광주광역시,서구,46890519.0,36458859.5,947351778.0,402723735.0,11.045977315883949
110,대구광역시,군위군,74731007.5,5825251.0,1788047158.0,23747374.0,4.0766267410623165
111,대구광역시,남구,74731007.5,19696555.5,1788047158.0,60085451.0,3.0505562761976326
112,대구광역시,동구,74731007.5,44060640.5,1788047158.0,580625612.0,13.17787497891684
113,대구광역시,수성구,74731007.5,37422348.5,1788047158.0,206197562.0,5.510011270404368
114,대구광역시,달서구,74731007.5,41243866.0,1788047158.0,232400476.0,5.634788843509481
115,대구광역시,달성군,74731007.5,23534601.5,1788047158.0,81545947.0,3.464938507669229
116,대구광역시,북구,74731007.5,35576956.0,1788047158.0,169629253.0,4.767952969332171
117,대구광역시,서구,74731007.5,15294597.5,1788047158.0,87456622.0,5.718138185722116
118,대구광역시,중구,74731007.5,46676278.5,1788047158.0,346358861.0,7.420447219244354
119,대전광역시,동구,57220078.5,23970621.5,1498503344.0,681309962.0,28.422707437936058
120,대전광역시,유성구,57220078.5,41028537.0,1498503344.0,392049713.0,9.555537234973794
121,대전광역시,대덕구,57220078.5,17287019.5,1498503344.0,45022196.0,2.6043931980293076
122,대전광역시,서구,57220078.5,42370566.5,1498503344.0,271375069.0,6.404801526550276
123,대전광역시,중구,57220078.5,29525430.5,1498503344.0,108746405.0,3.683143756362841
124,부산광역시,강서구,110596619.0,28258688.0,3040249793.0,181985142.0,6.4399713815446775
125,부산광역시,영도구,110596619.0,13234268.5,3040249793.0,36184505.0,2.734152250273598
126,부산광역시,부산진구,110596619.0,54897390.0,3040249793.0,402157331.0,7.325618412824362
127,부산광역시,동래구,110596619.0,27300782.5,3040249793.0,172617101.0,6.322789502462063
128,부산광역시,해운대구,110596619.0,54170808.0,3040249793.0,639048853.0,11.796923040173224
129,부산광역시,사하구,110596619.0,17936119.5,3040249793.0,80790311.0,4.504336124656172
130,부산광역시,금정구,110596619.0,22635724.5,3040249793.0,116759543.0,5.158197741804112
131,부산광역시,남구,110596619.0,21975347.5,3040249793.0,96789757.0,4.4044699179387266
